CellType,CpdName,IC50,Concentration1,Concentration2,Concentration3,Concentration4,Concentration5,Concentration6,Concentration7,Concentration8,Concentration9
UrinaryTrack,WSF-01-016-01,2.819153,0.8241,0.8719,0.9309,0.9489,1.0089,0.9894,1.0718,1.0769,1.0497
Prostate,WSF-01-016-01,0.607258,0.459,0.6186,1.0087,0.8541,1.1327,0.9222,1.1567,0.9533,1.0366
Prostate,WSF-01-016-01,1.307048,0.5698,0.7713,0.9298,0.8877,0.8879,1.0345,0.8978,0.9719,1.0639
Skin,WSF-01-016-01,1.265964,0.338,0.7258,0.8484,0.939,0.9705,0.9984,0.9953,0.9893,0.9892
Skin,WSF-01-016-01,2.705914,0.4265,0.8684,0.9527,0.986,1.0144,0.9505,1.0325,1.0053,1.0411
Skin,WSF-01-016-01,1.213616,0.1238,0.6398,0.8869,0.9986,1.0353,0.9619,1.0279,1.0338,1.0757
Skin,WSF-01-016-01,2.097213,0.6964,0.9427,0.7929,0.9301,0.9932,1.0416,1.0146,0.979,0.9717
Skin,WSF-01-016-01,1.418489,0.1239,0.7026,0.8416,0.9138,0.9149,0.9147,1.1817,0.9178,1.0593
Skin,WSF-01-016-01,1.062756,0.5053,0.7466,0.9186,0.8615,1.0369,1.0347,0.9634,1.1404,1.0917
Skin,WSF-01-016-01,0.020333,0.1863,0.4561,0.6671,0.8713,0.9283,0.9827,0.9688,1.0127,0.9864
Skin,WSF-01-016-01,5.356748,1.2777,1.0047,1.0779,1.0567,1.2887,1.03,1.0409,1.0334,1.0302
Skin,WSF-01-016-01,-0.133484,0.1251,0.359,0.6675,0.9983,1.0057,0.9988,1.0158,0.9608,1.0073
Skin,WSF-01-016-01,2.229854,0.7368,0.8579,0.9988,0.9222,1.0615,0.944,0.9081,1.106,0.9904
Skin,WSF-01-016-01,1.595244,0.6354,0.8552,0.9224,0.9257,0.9797,0.9862,0.9872,0.982,0.9704
Skin,WSF-01-016-01,1.904845,0.1274,0.6105,0.9082,0.9545,0.9776,1.0127,0.9907,0.9492,0.9876
Skin,WSF-01-016-01,0.727415,0.1299,0.6064,0.8418,0.949,0.9124,0.9934,1.008,0.9891,0.9583
Skin,WSF-01-016-01,-0.417623,0.1686,0.2263,0.5791,0.8294,0.8665,1.0318,1.0547,1.0373,0.9982
Skin,WSF-01-016-01,2.385919,0.7763,0.9584,0.9554,1.0285,1.0423,1.0172,1.0209,1.0106,1.0044
Skin,WSF-01-016-01,0.642412,0.3633,0.6676,0.8385,0.8947,0.9576,1.0065,0.982,0.977,1.0801
Skin,WSF-01-016-01,2.737303,0.5956,1.4666,0.991,1.0305,1.0441,0.9358,1.0524,1.0261,1.003
Skin,WSF-01-016-01,4.966264,0.1145,0.7947,1.0397,1.0793,1.0865,1.0533,1.0703,1.0357,1.0265
Skin,WSF-01-016-01,-0.5925,0.0631,0.2136,0.3805,0.8512,0.877,1.0427,0.8829,1.1002,0.9176
Skin,WSF-01-016-01,3.404777,0.6145,0.9303,0.944,0.9777,0.9936,1.0026,1.0109,0.9878,0.9934
Skin,WSF-01-016-01,2.81248,0.4513,0.8728,0.9772,0.9865,0.9957,1.0159,0.9772,1.0034,1.0014
Skin,WSF-01-016-01,2.786929,0.0732,0.5673,0.9144,1.0538,1.0294,0.9714,1.0483,1.0262,1.0301
Skin,WSF-01-016-01,0.841562,0.1923,0.6518,0.8021,0.9629,0.9807,0.9677,1.0214,1.0352,1.0536
Skin,WSF-01-016-01,0.423037,0.3647,0.6116,0.783,0.8606,0.9738,0.9383,1.009,0.9301,0.9732
Skin,WSF-01-016-01,2.09876,0.7355,0.7218,0.7972,0.9159,0.9929,1.0056,1.025,0.9515,0.985
Skin,WSF-01-016-01,1.347057,0.0773,0.4567,1.2516,0.9499,0.945,1.002,0.9736,0.9355,1.0111
Skin,WSF-01-016-01,4.915661,0.1955,0.6224,1.0967,1.1239,1.0421,1.0512,1.0895,1.078,1.0322
Lymphoma,WSF-01-016-01,1.584491,0.6884,0.7106,0.8653,0.9719,0.9835,0.9998,1.0265,1.0112,1.0156
Skin,WSF-01-016-01,0.344105,0.3191,0.5618,0.7908,0.8971,0.902,0.8767,0.9694,1.021,0.9202
Skin,WSF-01-016-01,-0.348983,0.1112,0.1701,0.5911,0.7493,0.9441,1.0621,0.979,1.1046,0.9355
Skin,WSF-01-016-01,5.510668,1.0311,0.9473,0.9575,0.996,0.9871,0.9974,1.0256,0.9828,0.9773
Skin,WSF-01-016-01,2.475249,0.8233,0.9227,0.9803,1.0165,1.019,1.0165,1.0257,1.0083,1.0135
Skin,WSF-01-016-01,0.67163,0.4294,0.6904,0.8979,1.0938,0.987,0.9949,1.0195,1.032,0.9631
Lymphoma,WSF-01-016-01,2.391563,0.5869,0.8772,1.0715,1.0578,1.0846,1.0793,1.0555,1.0635,1.0715
Stomach,WSF-01-016-01,5.673269,0.4092,1.0813,1.1581,1.1627,1.0602,1.0717,1.1015,1.0577,1.0256
Stomach,WSF-01-016-01,-0.472695,0.0939,0.321,0.5267,0.7651,0.8053,0.8877,0.9161,0.8854,0.8929
Stomach,WSF-01-016-01,0.846757,0.2177,0.6725,0.8426,0.9653,0.9842,0.9923,1.0134,1.0247,1.0419
Stomach,WSF-01-016-01,2.84239,0.0914,0.6188,0.9591,1.0749,1.0241,1.0272,1.0719,1.0258,1.0161
Stomach,WSF-01-016-01,5.335363,0.9591,0.9966,0.9881,0.9973,1.0044,0.997,1.0144,0.9842,0.9757
Stomach,WSF-01-016-01,1.003294,0.2848,0.7,0.8768,1.0284,0.9665,0.996,1.0898,1.0282,1.0545
Stomach,WSF-01-016-01,0.744577,0.2452,0.6509,0.7813,0.966,1.1224,1.1377,0.976,1.0228,1.0477
Stomach,WSF-01-016-01,0.904042,0.4188,0.7209,0.8618,0.8934,0.863,1.2649,1.0317,0.93,1.0243
Stomach,WSF-01-016-01,2.25726,0.7567,0.8019,0.8145,0.9188,0.9849,1.096,1.0737,0.9801,1.0249
